name,slug,brand,category,short_description,long_description,variants,statusName,image_url
Quần Short 5 Inch Dù Mỏng Nhẹ Non Branded 006 Xanh Dương Đậm,quan-short-5-inch-du-mong-nhe-non-branded-006-xanh-duong-am,Non Branded,Quần short,Quần Short 5 Inch Dù Mỏng Nhẹ Non Branded 006 Xanh Dương Đậm,"Quần Short 5 Inch Dù Mỏng Nhẹ Non Branded 006 Xanh Dương Đậm là sản phẩm thuộc thương hiệu Non Branded, thiết kế hướng tới sự bền bỉ và thoải mái khi sử dụng hàng ngày.

Bền - Giá Tốt: Đường may chắc chắn, form dáng dễ mặc, phù hợp nhiều phong cách khác nhau.
Chất liệu: Vải dù nhẹ, chống bám bụi, hạn chế thấm nước.
Loại sản phẩm: Quần short.
Màu sắc: Xanh Dương Đậm.
Kỹ thuật hoàn thiện tỉ mỉ, hạn chế nhăn và giữ form tốt sau thời gian dài sử dụng.

Nhân dịp: Đi chơi, dạo phố, hoạt động ngoài trời.
Đối tượng phù hợp: Phù hợp cho cả nam và nữ, đặc biệt với những ai cần trang phục dễ phối, có thể mặc đi học, đi làm hoặc đi chơi hàng ngày.
Bộ sưu tập: #Y2010 cảm hứng streetwear hiện đại.
Xuất xứ: Việt Nam.","[{""color"": null, ""size"": null, ""sku"": ""quan-short-5-inch-du-mong-nhe-non-branded-06-xanh-bich-0023737"", ""price"": 158650, ""stock_quantity"": 0}]",New,https://yame.vn/cdn/shop/files/qu-n-short-non-branded-06-xanh-bich-1174878726.jpg?v=1760785240&width=533
Áo Thun 3 Lỗ Waffle Non Branded 002 Xám Đậm,ao-thun-3-lo-waffle-non-branded-002-xam-am,Non Branded,Áo thun 3 lỗ,Áo Thun 3 Lỗ Waffle Non Branded 002 Xám Đậm,"Áo Thun 3 Lỗ Waffle Non Branded 002 Xám Đậm là sản phẩm thuộc thương hiệu Non Branded, thiết kế hướng tới sự bền bỉ và thoải mái khi sử dụng hàng ngày.

Bền - Giá Tốt: Đường may chắc chắn, form dáng dễ mặc, phù hợp nhiều phong cách khác nhau.
Chất liệu: Vải waffle thoáng khí, giữ form tốt và dễ thấm hút mồ hôi.
Loại sản phẩm: Áo thun 3 lỗ.
Màu sắc: Xám Đậm.
Kỹ thuật hoàn thiện tỉ mỉ, hạn chế nhăn và giữ form tốt sau thời gian dài sử dụng.

Nhân dịp: Hàng ngày, đi học, đi làm, đi chơi.
Đối tượng phù hợp: Phù hợp cho cả nam và nữ, đặc biệt với những ai cần trang phục dễ phối, có thể mặc đi học, đi làm hoặc đi chơi hàng ngày.
Bộ sưu tập: #Y2010 cảm hứng streetwear hiện đại.
Xuất xứ: Việt Nam.","[{""color"": null, ""size"": null, ""sku"": ""ao-thun-3-lo-waffle-non-branded-02-xam-0023716"", ""price"": 111150, ""stock_quantity"": 0}]",New,https://yame.vn/cdn/shop/files/23716_thumb_1.jpg?v=1760776031&width=533
Áo Khoác Gió Trượt Nước Mỏng Nhẹ Nhiều Màu Non Branded 004 Trắng,ao-khoac-gio-truot-nuoc-mong-nhe-nhieu-mau-non-branded-004-trang,Non Branded,Áo khoác,Áo Khoác Gió Trượt Nước Mỏng Nhẹ Nhiều Màu Non Branded 004 Trắng,"Áo Khoác Gió Trượt Nước Mỏng Nhẹ Nhiều Màu Non Branded 004 Trắng là sản phẩm thuộc thương hiệu Non Branded, thiết kế hướng tới sự bền bỉ và thoải mái khi sử dụng hàng ngày.

Bền - Giá Tốt: Đường may chắc chắn, form dáng dễ mặc, phù hợp nhiều phong cách khác nhau.
Chất liệu: Chất vải dày dặn, ấm áp nhưng vẫn đảm bảo độ thoáng khí.
Loại sản phẩm: Áo khoác.
Màu sắc: Trắng.
Kỹ thuật hoàn thiện tỉ mỉ, hạn chế nhăn và giữ form tốt sau thời gian dài sử dụng.

Nhân dịp: Đi học, đi làm, đi chơi.
Đối tượng phù hợp: Phù hợp cho cả nam và nữ, đặc biệt với những ai cần trang phục dễ phối, có thể mặc đi học, đi làm hoặc đi chơi hàng ngày.
Bộ sưu tập: #Y2010 cảm hứng streetwear hiện đại.
Xuất xứ: Việt Nam.","[{""color"": null, ""size"": null, ""sku"": ""ao-khoac-gio-truot-nuoc-mong-nhe-nhieu-mau-non-branded-04-trang-0024033"", ""price"": 310650, ""stock_quantity"": 0}]",New,https://yame.vn/cdn/shop/files/ao-khoac-gio-dang-v-a-non-branded-04-tr-ng-1194490216.jpg?v=1760780131&width=533
Áo Thun Tay Ngắn Pique Ít Nhăn Dáng Vừa Non Branded 008 Đen,ao-thun-tay-ngan-pique-it-nhan-dang-vua-non-branded-008-en,Non Branded,Áo thun,Áo Thun Tay Ngắn Pique Ít Nhăn Dáng Vừa Non Branded 008 Đen,"Áo Thun Tay Ngắn Pique Ít Nhăn Dáng Vừa Non Branded 008 Đen là sản phẩm thuộc thương hiệu Non Branded, thiết kế hướng tới sự bền bỉ và thoải mái khi sử dụng hàng ngày.

Bền - Giá Tốt: Đường may chắc chắn, form dáng dễ mặc, phù hợp nhiều phong cách khác nhau.
Chất liệu: Vải pique thoáng mát, ít nhăn, bề mặt dệt mắt chim sang trọng.
Loại sản phẩm: Áo thun.
Màu sắc: Đen.
Kỹ thuật hoàn thiện tỉ mỉ, hạn chế nhăn và giữ form tốt sau thời gian dài sử dụng.

Nhân dịp: Hàng ngày, đi học, đi làm, đi chơi.
Đối tượng phù hợp: Phù hợp cho cả nam và nữ, đặc biệt với những ai cần trang phục dễ phối, có thể mặc đi học, đi làm hoặc đi chơi hàng ngày.
Bộ sưu tập: #Y2010 cảm hứng streetwear hiện đại.
Xuất xứ: Việt Nam.","[{""color"": null, ""size"": null, ""sku"": ""ao-thun-co-tron-tay-ngan-pique-it-nhan-dang-vua-non-branded-den-0021929"", ""price"": 82650, ""stock_quantity"": 0}]",New,https://yame.vn/cdn/shop/files/ao-thun-no-style-02-den-1174878775.jpg?v=1760790228&width=533
Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Xanh Dương,quan-short-thun-9-inch-thoang-mat-non-branded-005-xanh-duong,Non Branded,Quần short,Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Xanh Dương,"Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Xanh Dương là sản phẩm thuộc thương hiệu Non Branded, thiết kế hướng tới sự bền bỉ và thoải mái khi sử dụng hàng ngày.

Bền - Giá Tốt: Đường may chắc chắn, form dáng dễ mặc, phù hợp nhiều phong cách khác nhau.
Chất liệu: Chất liệu thoáng mát, co giãn nhẹ, phù hợp vận động hàng ngày.
Loại sản phẩm: Quần short.
Màu sắc: Xanh Dương.
Kỹ thuật hoàn thiện tỉ mỉ, hạn chế nhăn và giữ form tốt sau thời gian dài sử dụng.

Nhân dịp: Đi chơi, dạo phố, hoạt động ngoài trời.
Đối tượng phù hợp: Phù hợp cho cả nam và nữ, đặc biệt với những ai cần trang phục dễ phối, có thể mặc đi học, đi làm hoặc đi chơi hàng ngày.
Bộ sưu tập: #Y2010 cảm hứng streetwear hiện đại.
Xuất xứ: Việt Nam.","[{""color"": null, ""size"": null, ""sku"": ""quan-short-thun-9-inch-thoang-mat-non-branded-05-xanh-duong-0023727"", ""price"": 158650, ""stock_quantity"": 0}]",New,https://yame.vn/cdn/shop/files/qu-n-short-non-branded-05-xanh-d-ng-1174882141.jpg?v=1760784460&width=533
Áo Polo Pique Thoáng Mát Non Branded 003 Hồng,ao-polo-pique-thoang-mat-non-branded-003-hong,Non Branded,Áo polo,Áo Polo Pique Thoáng Mát Non Branded 003 Hồng,"Áo Polo Pique Thoáng Mát Non Branded 003 Hồng là sản phẩm thuộc thương hiệu Non Branded, thiết kế hướng tới sự bền bỉ và thoải mái khi sử dụng hàng ngày.

Bền - Giá Tốt: Đường may chắc chắn, form dáng dễ mặc, phù hợp nhiều phong cách khác nhau.
Chất liệu: Vải pique thoáng mát, ít nhăn, bề mặt dệt mắt chim sang trọng.
Loại sản phẩm: Áo polo.
Màu sắc: Hồng.
Kỹ thuật hoàn thiện tỉ mỉ, hạn chế nhăn và giữ form tốt sau thời gian dài sử dụng.

Nhân dịp: Đi làm, đi chơi, thể thao nhẹ.
Đối tượng phù hợp: Phù hợp cho cả nam và nữ, đặc biệt với những ai cần trang phục dễ phối, có thể mặc đi học, đi làm hoặc đi chơi hàng ngày.
Bộ sưu tập: #Y2010 cảm hứng streetwear hiện đại.
Xuất xứ: Việt Nam.","[{""color"": null, ""size"": null, ""sku"": ""ao-polo-pique-thoang-mat-non-branded-03-hong-0023746"", ""price"": 168150, ""stock_quantity"": 0}]",New,https://yame.vn/cdn/shop/files/ao-polo-non-branded-03-h-ng-1174885368.jpg?v=1760774459&width=533
Áo Khoác Hoodie Waffle Thoáng Khí Seventy Seven 039 Đen,ao-khoac-hoodie-waffle-thoang-khi-seventy-seven-039-en,Seventy Seven,Áo khoác,Áo Khoác Hoodie Waffle Thoáng Khí Seventy Seven 039 Đen,"Áo Khoác Hoodie Waffle Thoáng Khí Seventy Seven 039 Đen là sản phẩm thuộc thương hiệu Seventy Seven, thiết kế hướng tới sự bền bỉ và thoải mái khi sử dụng hàng ngày.

Bền - Giá Tốt: Đường may chắc chắn, form dáng dễ mặc, phù hợp nhiều phong cách khác nhau.
Chất liệu: Vải waffle thoáng khí, giữ form tốt và dễ thấm hút mồ hôi.
Loại sản phẩm: Áo khoác.
Màu sắc: Đen.
Kỹ thuật hoàn thiện tỉ mỉ, hạn chế nhăn và giữ form tốt sau thời gian dài sử dụng.

Nhân dịp: Đi học, đi làm, đi chơi.
Đối tượng phù hợp: Phù hợp cho cả nam và nữ, đặc biệt với những ai cần trang phục dễ phối, có thể mặc đi học, đi làm hoặc đi chơi hàng ngày.
Bộ sưu tập: #Y2010 cảm hứng streetwear hiện đại.
Xuất xứ: Việt Nam.","[{""color"": null, ""size"": null, ""sku"": ""ao-khoac-hoodie-waffle-thoang-khi-seventy-seven-39-den-0023190"", ""price"": 272650, ""stock_quantity"": 0}]",New,https://yame.vn/cdn/shop/files/ao-khoac-seventy-seven-39-den-1174884560.jpg?v=1760780440&width=533
Quần Short Nam Thun Waffle 7 Inch Thoáng Khí Seventy Seven 030 Nâu,quan-short-nam-thun-waffle-7-inch-thoang-khi-seventy-seven-030-nau,Seventy Seven,Quần short,Quần Short Nam Thun Waffle 7 Inch Thoáng Khí Seventy Seven 030 Nâu,"Quần Short Nam Thun Waffle 7 Inch Thoáng Khí Seventy Seven 030 Nâu là sản phẩm thuộc thương hiệu Seventy Seven, thiết kế hướng tới sự bền bỉ và thoải mái khi sử dụng hàng ngày.

Bền - Giá Tốt: Đường may chắc chắn, form dáng dễ mặc, phù hợp nhiều phong cách khác nhau.
Chất liệu: Vải waffle thoáng khí, giữ form tốt và dễ thấm hút mồ hôi.
Loại sản phẩm: Quần short.
Màu sắc: Nâu.
Kỹ thuật hoàn thiện tỉ mỉ, hạn chế nhăn và giữ form tốt sau thời gian dài sử dụng.

Nhân dịp: Đi chơi, dạo phố, hoạt động ngoài trời.
Đối tượng phù hợp: Phù hợp cho cả nam và nữ, đặc biệt với những ai cần trang phục dễ phối, có thể mặc đi học, đi làm hoặc đi chơi hàng ngày.
Bộ sưu tập: #Y2010 cảm hứng streetwear hiện đại.
Xuất xứ: Việt Nam.","[{""color"": null, ""size"": null, ""sku"": ""quan-short-nam-thun-waffle-7-inch-thoang-khi-seventy-seven-30-nau-0023284"", ""price"": 192950, ""stock_quantity"": 0}]",New,https://yame.vn/cdn/shop/files/0023284_thumb_1.jpg?v=1760796857&width=533
Áo Khoác Hoodie Waffle Thoáng Khí Seventy Seven 039 Xanh Dương Đậm,ao-khoac-hoodie-waffle-thoang-khi-seventy-seven-039-xanh-duong-am,Seventy Seven,Áo khoác,Áo Khoác Hoodie Waffle Thoáng Khí Seventy Seven 039 Xanh Dương Đậm,"Áo Khoác Hoodie Waffle Thoáng Khí Seventy Seven 039 Xanh Dương Đậm là sản phẩm thuộc thương hiệu Seventy Seven, thiết kế hướng tới sự bền bỉ và thoải mái khi sử dụng hàng ngày.

Bền - Giá Tốt: Đường may chắc chắn, form dáng dễ mặc, phù hợp nhiều phong cách khác nhau.
Chất liệu: Vải waffle thoáng khí, giữ form tốt và dễ thấm hút mồ hôi.
Loại sản phẩm: Áo khoác.
Màu sắc: Xanh Dương Đậm.
Kỹ thuật hoàn thiện tỉ mỉ, hạn chế nhăn và giữ form tốt sau thời gian dài sử dụng.

Nhân dịp: Đi học, đi làm, đi chơi.
Đối tượng phù hợp: Phù hợp cho cả nam và nữ, đặc biệt với những ai cần trang phục dễ phối, có thể mặc đi học, đi làm hoặc đi chơi hàng ngày.
Bộ sưu tập: #Y2010 cảm hứng streetwear hiện đại.
Xuất xứ: Việt Nam.","[{""color"": null, ""size"": null, ""sku"": ""ao-khoac-hoodie-waffle-thoang-khi-seventy-seven-39-xanh-den-0023188"", ""price"": 272650, ""stock_quantity"": 0}]",New,https://yame.vn/cdn/shop/files/ao-khoac-seventy-seven-39-xanh-den-1174884581.jpg?v=1760780379&width=533
Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Xanh Lá Đậm,quan-short-thun-9-inch-thoang-mat-non-branded-005-xanh-la-am,Non Branded,Quần short,Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Xanh Lá Đậm,"Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Xanh Lá Đậm là sản phẩm thuộc thương hiệu Non Branded, thiết kế hướng tới sự bền bỉ và thoải mái khi sử dụng hàng ngày.

Bền - Giá Tốt: Đường may chắc chắn, form dáng dễ mặc, phù hợp nhiều phong cách khác nhau.
Chất liệu: Chất liệu thoáng mát, co giãn nhẹ, phù hợp vận động hàng ngày.
Loại sản phẩm: Quần short.
Màu sắc: Xanh Lá Đậm.
Kỹ thuật hoàn thiện tỉ mỉ, hạn chế nhăn và giữ form tốt sau thời gian dài sử dụng.

Nhân dịp: Đi chơi, dạo phố, hoạt động ngoài trời.
Đối tượng phù hợp: Phù hợp cho cả nam và nữ, đặc biệt với những ai cần trang phục dễ phối, có thể mặc đi học, đi làm hoặc đi chơi hàng ngày.
Bộ sưu tập: #Y2010 cảm hứng streetwear hiện đại.
Xuất xứ: Việt Nam.","[{""color"": null, ""size"": null, ""sku"": ""quan-short-thun-9-inch-thoang-mat-non-branded-05-xanh-reu-0023725"", ""price"": 158650, ""stock_quantity"": 0}]",New,https://yame.vn/cdn/shop/files/qu-n-short-non-branded-05-xanh-reu-1174882127.jpg?v=1760784387&width=533
